,subject,congruency,rt,acc,task
625,10,congruent,0.40140792,1,flanker
626,10,incongruent,0.41807862999999995,1,flanker
627,10,congruent,0.40138434,1,flanker
628,10,incongruent,0.5348906170000001,1,flanker
629,10,congruent,0.40144421,1,flanker
630,10,congruent,0.384744273,1,flanker
631,10,congruent,0.351379537,1,flanker
632,10,incongruent,0.36804959200000004,1,flanker
633,10,incongruent,0.534939056,1,flanker
634,10,incongruent,0.451357451,1,flanker
635,10,incongruent,0.334622244,1,flanker
636,10,congruent,0.31800007599999996,1,flanker
637,10,congruent,0.36798916800000003,1,flanker
638,10,incongruent,0.384784138,0,flanker
639,10,congruent,0.401425433,1,flanker
640,10,congruent,0.401433584,1,flanker
641,10,incongruent,0.468066916,1,flanker
642,10,congruent,0.351319909,1,flanker
643,10,congruent,0.318021464,1,flanker
644,10,incongruent,0.384696866,1,flanker
645,10,congruent,0.351318476,1,flanker
646,10,incongruent,0.35136141099999996,1,flanker
647,10,incongruent,0.368102114,0,flanker
648,10,incongruent,0.418134273,1,flanker
649,10,incongruent,0.384726679,1,flanker
650,10,incongruent,0.951991757,1,flanker
651,10,incongruent,0.534856482,1,flanker
652,10,incongruent,0.468235379,1,flanker
